Banda sonora
Blues
Brostep
Country
Dance
Disco
Dubsep
Flamenco
Funk
Gospel
Grunge
Heavy Metal
Hip-Hop
House
Jazz
Metal
Metal alternativo
Metal gótico
Metal progresivo
Música clásica
Pop
Pop-Rock
Power Metal
Punk pop
Punk rock
R&B
Rap
Reggae
Rock
Rock alternativo
Rock gótico
Rock progresivo
Salsa
Ska
Soul
Techno
Trash Metal
